x1,y1,z1,x2,y2,z2
9.67E+01,-3.44E+00,1.41E+01,1,805946,867724
9.84E+01,-4.77E+00,1.40E+01,1,805946,869231
9.61E+01,-3.74E+00,1.50E+01,1,805946,870458
9.58E+01,-3.07E+00,1.29E+01,1,805946,871871
9.96E+01,-3.29E+00,1.03E+01,1,805947,862069
1.01E+02,-3.10E+00,1.01E+01,1,805947,863576
9.96E+01,-3.23E+00,1.05E+01,1,805947,864332
9.93E+01,-4.42E+00,1.02E+01,1,805947,865839
9.93E+01,-5.04E+00,1.17E+01,1,805947,867346
9.87E+01,-3.70E+00,9.93E+00,1,805947,868854
9.79E+01,-5.15E+00,1.53E+01,1,805948,824821
9.80E+01,-4.89E+00,1.56E+01,1,805948,825198
9.85E+01,-6.54E+00,1.68E+01,1,805948,825575
9.79E+01,-6.81E+00,1.67E+01,1,805948,825955
9.81E+01,-5.96E+00,1.73E+01,1,805948,826335
9.99E+01,-4.81E+00,1.51E+01,1,805948,826714
9.65E+01,-3.00E+00,1.16E+01,1,805949,873756
9.57E+01,-3.02E+00,1.16E+01,1,805949,875641
9.57E+01,-3.71E+00,1.12E+01,1,805949,877244
9.43E+01,-3.48E+00,1.34E+01,1,805949,878281
9.61E+01,-3.28E+00,1.23E+01,1,805949,879412
9.72E+01,-3.57E+00,1.15E+01,1,805949,880542
9.87E+01,-4.94E+00,1.49E+01,1,805950,872625
9.78E+01,-6.24E+00,1.65E+01,1,805950,873758
9.63E+01,-6.88E+00,1.56E+01,1,805950,875642
9.84E+01,-6.26E+00,1.59E+01,1,805950,876773
9.69E+01,-5.27E+00,1.66E+01,1,805950,878279
9.61E+01,-5.39E+00,1.66E+01,1,805950,879411
9.76E+01,-3.78E+00,1.42E+01,1,805951,873755
9.68E+01,-2.38E+00,1.31E+01,1,805951,875263
9.67E+01,-3.86E+00,1.50E+01,1,805951,876772
9.78E+01,-3.52E+00,1.41E+01,1,805951,878280
9.60E+01,-2.30E+00,1.30E+01,1,805951,879410
9.82E+01,-2.35E+00,1.35E+01,1,805951,880541
9.87E+01,-3.83E+00,1.08E+01,1,805952,869518
9.81E+01,-3.47E+00,9.70E+00,1,805952,870742
9.86E+01,-4.63E+00,1.05E+01,1,805952,872626
9.85E+01,-5.17E+00,1.13E+01,1,805952,873757
1.00E+02,-4.13E+00,1.12E+01,1,805952,875264
9.99E+01,-2.77E+00,9.34E+00,1,805952,876771
9.65E+01,-4.10E+00,1.19E+01,1,805953,805963
9.74E+01,-4.58E+00,1.37E+01,1,805953,806343
9.79E+01,-6.39E+00,2.08E+01,1,805954,806721
9.71E+01,-6.79E+00,1.99E+01,1,805954,807099
9.67E+01,-6.45E+00,2.22E+01,1,805955,807477
9.71E+01,-7.95E+00,2.25E+01,1,805955,807857
9.78E+01,-5.73E+00,1.78E+01,1,805956,808234
9.70E+01,-6.31E+00,1.69E+01,1,805956,808614
9.66E+01,-6.15E+00,1.98E+01,1,805957,808991
9.81E+01,-8.25E+00,1.98E+01,1,805957,809371
9.73E+01,-5.68E+00,1.56E+01,1,805958,809748
9.89E+01,-6.30E+00,1.59E+01,1,805958,810128
9.64E+01,-8.21E+00,2.42E+01,1,805959,810505
9.57E+01,-9.67E+00,2.41E+01,1,805959,810884
9.77E+01,-9.18E+00,2.66E+01,1,805960,811262
9.72E+01,-1.01E+01,2.57E+01,1,805960,811641
